('</s>', '<s>'): 3914
('monaco', 'for'): 1
('simply', 'fantastic'): 1
('museums', ','): 1
('park', 'nearby'): 1
('great', 'box'): 1
('box', 'window'): 1
('can', 'sit'): 1
('also', 'requested'): 1
('a', 'goldfish'): 1
('goldfish', 'which'): 1
('surprise', 'and'): 1
('added', 'to'): 1
('the', 'charm'): 1
('and', 'uniqueness'): 1
('uniqueness', 'of'): 1
('<s>', 'helpful'): 1
(',', 'wifi'): 1
('wifi', ','): 1
(',', 'aveda'): 1
(',', 'decent'): 1
('decent', 'restaurant'): 1
('downstairs', 'for'): 1
('for', 'brunch'): 1
('nothing', 'beats'): 1
('beats', 'the'): 1
('ae', 'for'): 1
('three', 'generation'): 1
('generation', '``'): 1
('``', 'girls'): 1
('weekend', '``'): 1
('``', '('): 1
('(', 'grandma'): 1
('grandma', ','): 1
(',', 'mom'): 1
('mom', 'and'): 1
('and', 'daughter'): 1
('daughter', ')'): 1
('website', 'for'): 1
('an', 'idea'): 1
('idea', 'of'): 1
('of', 'rates'): 1
('rates', 'and'): 1
('any', 'packages'): 1
('packages', 'that'): 1
('might', 'interest'): 1
('interest', 'us'): 1
('directly', 'and'): 1
('was', 'assisted'): 1
('assisted', 'by'): 1
('very', 'gracious'): 1
('gracious', 'man'): 1
('man', 'named'): 1
('named', 'reece'): 1
('reece', '.'): 1
('rates', 'were'): 1
('bit', 'high'): 1
('high', 'for'): 1
('the', 'saturday'): 1
('night', 'portion'): 1
('requested', 'the'): 1
('honor', 'the'): 1
('advertised', 'rate'): 1
('package', 'was'): 1
('daughter', 'was'): 1
('was', 'thrilled'): 1
('thrilled', '.'): 1
('a', 'doll'): 1
('doll', 'bed'): 1
('a', 'backpack'): 1
('backpack', 'and'): 1
('travel', 'kit'): 1
('kit', 'to'): 1
('keep', '.'): 1
('have', 'matching'): 1
('matching', 'bathrobes'): 1
('bathrobes', 'for'): 1
('for', 'girl'): 1
('girl', 'and'): 1
('and', 'doll'): 1
('doll', '('): 1
('keep', 'those'): 1
('those', ')'): 1
('she', 'also'): 1
('special', 'welcome'): 1
('welcome', 'letter'): 1
('letter', 'and'): 1
('complimentary', 'room'): 1
('service', 'snack'): 1
('snack', 'from'): 1
('a', 'specially'): 1
('specially', 'printed'): 1
('printed', 'menu'): 1
(',', '1334'): 1
('1334', ','): 1
('linens', ','): 1
('clean', 'bathroom'): 1
('ate', 'breakfast'): 1
('breakfast', 'nearby'): 1
('nearby', 'at'): 1
('place', 'called'): 1
('3rd', 'coast'): 1
('coast', '.'): 1
('is', 'north'): 1
('pleasant', 'walk'): 1
('mag', '.'): 1
('<s>', 'mile'): 1
('...', 'imagine'): 1
('imagine', 'our'): 1
('our', 'surprise'): 1
('surprise', 'when'): 1
('got', 'off'): 1
('off', 'on'): 1
('a', 'floor'): 1
('with', 'only'): 1
('3', 'other'): 1
('<s>', 'corner'): 1
('corner', 'tower'): 1
('tower', 'suite'): 1
('ave.', 'beautiful'): 1
('<s>', 'cabs'): 1
('cabs', 'available'): 1
('available', 'right'): 1
('...', 'never'): 1
('7', 'for'): 1
('in', 'dec.'): 1
('dec.', 'you'): 1
('you', 'must'): 1
('must', 'go'): 1
('the', 'chriskindl'): 1
('chriskindl', 'festival'): 1
('festival', 'for'): 1
('for', 'strudel'): 1
('strudel', '!'): 1
('le', 'meridian'): 1
('has', 'changed'): 1
('changed', 'for'): 1
('kept', 'having'): 1
('to', 'remind'): 1
('remind', 'them'): 1
('being', 'over-charged'): 1
('over-charged', 'separately'): 1
('separately', 'for'): 1
('it', 'should'): 1
('been', 'included'): 1
('included', '.'): 1
('were', 'supposed'): 1
('have', 'champagne'): 1
('champagne', 'in'): 1
('room', 'upon'): 1
('two', 'phone'): 1
('hours', 'later'): 1
('finally', 'showed'): 1
('only', 'people'): 1
('people', 'there'): 1
(',', 'three'): 1
('three', 'servers/bartenders'): 1
('servers/bartenders', 'came'): 1
('went', ','): 1
(',', 'talking'): 1
('talking', 'to'): 1
('to', 'each'): 1
('each', 'other'): 1
('them', 'acknowledging'): 1
('acknowledging', 'us'): 1
('ten', 'minutes'): 1
('bother', 'to'): 1
('``', 'city'): 1
('city', 'view'): 1
(';', 'because'): 1
('may', 'get'): 1
('view', 'we'): 1
('had', 'from'): 1
('from', 'only'): 1
('the', 'sixth'): 1
('sixth', 'floor'): 1
(',', 'looking'): 1
('looking', 'across'): 1
('street', 'directly'): 1
('a', 'plain'): 1
('plain', 'brick'): 1
('wall', '-'): 1
('-', 'that'): 1
('all', 'we'): 1
('oh', 'yes'): 1
('valet', 'lost'): 1
('lost', 'his'): 1
('his', 'cell'): 1
('cell', 'phone'): 1
('in', 'someone'): 1
('someone', "'s"): 1
("'s", 'car'): 1
('home', 'today'): 1
('today', 'to'): 1
('he', 'wanted'): 1
('wanted', 'me'): 1
('call', 'him'): 1
('him', 'back'): 1
('nice', 'of'): 1
('give', 'out'): 1
('out', 'our'): 1
('our', 'personal'): 1
('personal', 'information'): 1
(',', 'huh'): 1
('huh', '?'): 1
('same', 'price-point'): 1
('price-point', 'and'): 1
('be', 'much'): 1
('much', 'much'): 1
('<s>', 'triple'): 1
('triple', 'a'): 1
('with', 'upgrade'): 1
('to', 'view'): 1
('view', 'room'): 1
('200', 'which'): 1
('included', 'breakfast'): 1
('vouchers', '.'): 1
('of', 'river'): 1
(',', 'lake'): 1
('lake', ','): 1
(',', 'wrigley'): 1
('wrigley', 'bldg'): 1
('<s>', '&'): 1
('&', 'tribune'): 1
('tribune', 'bldg'): 1
('major', 'restaurants'): 1
(',', 'sightseeing'): 1
('sightseeing', 'attractions'): 1
('attractions', 'within'): 1
('love', 'this'): 1
('best', 'that'): 1
('the', 'made'): 1
('made', 'services'): 1
('services', 'was'): 1
('was', 'terrific'): 1
('what', 'time'): 1
('up', 'when'): 1
('maid', 'for'): 1
('of', 'extras'): 1
('extras', 'and'): 1
('liked', 'about'): 1
('daughter', 'for'): 1
('a', 'girl'): 1
('girl', "'s"): 1
("'s", 'weekend'): 1
('weekend', 'from'): 1
('from', 'thursday'): 1
('thursday', '-'): 1
('-', 'sunday'): 1
('sunday', '.'): 1
('everyone', 'from'): 1
('doorman', 'to'): 1
('concierge', 'to'): 1
('desk', 'etc'): 1
('say', 'enough'): 1
('enough', 'good'): 1
('good', 'about'): 1
("n't", 'moving'): 1
('moving', 'into'): 1
('just', 'staying'): 1
('days', 'and'): 1
('hardly', 'in'): 1
('room', 'anyway'): 1
('anyway', '.'): 1
('in', 'old'): 1
('room', 'wi-fi'): 1
('expensive', 'as'): 1
('the', 'bottled'): 1
('least', 'there'): 1
('there', 'should'): 1
('least', 'have'): 1
('been', 'water'): 1
('rate', 'the'): 1
('the', 'value'): 1
('value', 'as'): 1
('as', 'sub-par'): 1
('sub-par', '.'): 1
('restaurant', 'menu'): 1
('menu', 'was'): 1
(',', 'food'): 1
('food', 'mediocre'): 1
('mediocre', 'by'): 1
('by', 'comparison'): 1
('comparison', 'to'): 1
('other', 'downtown'): 1
('chicago', 'restaurants'): 1
('was', 'below'): 1
('average', 'especially'): 1
('especially', 'since'): 1
('since', 'there'): 1
('only', 'three'): 1
('three', 'tables'): 1
('tables', 'in'): 1
('in', 'use'): 1
('use', 'in'): 1
('entire', 'restaurant'): 1
('restaurant', '..'): 1
('will', 'go'): 1
('the', 'm'): 1
('m', '...'): 1
('or', 'h'): 1
('h', '...'): 1
('...', 'next'): 1
('above', 'comments'): 1
('comments', 'are'): 1
('are', 'based'): 1
('previous', 'week'): 1
('week', 'resort'): 1
('resort', 'stay'): 1
('the', 'outer'): 1
('outer', 'banks'): 1
('banks', 'of'): 1
('of', 'north'): 1
('north', 'carolina'): 1
('carolina', 'and'): 1
('and', 'earlier'): 1
('year', 'in'): 1
('in', 'northern'): 1
('northern', 'california'): 1
('room', 'user'): 1
('user', ','): 1
('16', 'per'): 1
('per', 'stay'): 1
('stay', 'per'): 1
('per', 'person'): 1
('person', 'is'): 1
('and', 'dinners'): 1
('dinners', 'on'): 1
('on', 'weeknights'): 1
('weeknights', '.'): 1
('pool', 'needs'): 1
('updating', '('): 1
('but', 'kids'): 1
('kids', 'do'): 1
('care', ')'): 1
(')', 'my'): 1
('our', 'granddaughters'): 1
('granddaughters', 'for'): 1
('a', 'grandma'): 1
('grandma', 'grandaughter'): 1
('grandaughter', 'outing'): 1
('outing', 'and'): 1
('perfect', '</s>'): 1
('the', 'age'): 1
('age', 'shows'): 1
('bit', 'drab'): 1
('drab', '.'): 1
('bathroom', 'in'): 1
('in', 'urgent'): 1
('urgent', 'need'): 1
('of', 'upgrade'): 1
('really', 'interested'): 1
('was', 'disinterested'): 1
('disinterested', '.'): 1
('was', 'irritatingly'): 1
('irritatingly', 'slow'): 1
('few', 'number'): 1
('hotel', 'tjhat'): 1
('tjhat', 'promises'): 1
('promises', 'so'): 1
('much', 'in'): 1
('its', 'promotional'): 1
('promotional', 'material'): 1
('material', 'should'): 1
('should', 'deliver'): 1
('deliver', 'better'): 1
('didnt', 'seem'): 1
('be', 'trying'): 1
('trying', '.'): 1
('was', 'magnificent'): 1
('magnificent', '!'): 1
('mini', 'palace'): 1
('palace', ','): 1
('professional', '.'): 1
('an', 'e-mail'): 1
('e-mail', 'i'): 1
('received', 'before'): 1
('left', 'for'): 1
(',', 'les'): 1
('les', ','): 1
(',', 'offered'): 1
('us', 'tickets'): 1
('tickets', ','): 1
(',', 'directions'): 1
(',', 'reservations'): 1
('to', 'anything'): 1
('anything', 'we'): 1
('to', 'see/do'): 1
('see/do', '.'): 1
('got', 'us'): 1
('upgrade', 'on'): 1
('when', 'someone'): 1
('someone', 'rudely'): 1
('rudely', 'butted'): 1
('butted', 'in'): 1
('were', 'registering'): 1
('registering', ','): 1
('the', 'registry'): 1
('registry', 'person'): 1
('person', 'said'): 1
('would', 'upgrade'): 1
('upgrade', 'our'): 1
('were', 'granted'): 1
('granted', 'a'): 1
('beautiful', 'suite'): 1
('suite', 'complete'): 1
('with', 'king'): 1
('and', 'jacuzzi'): 1
('jacuzzi', '.'): 1
('so', 'comfortably'): 1
('comfortably', 'both'): 1
('us', 'slept'): 1
('slept', 'late'): 1
('late', 'every'): 1
('morning', '!'): 1
('80', 'per'): 1
('night', 'thru'): 1
('incredible', 'bargain'): 1
('bargain', 'in'): 1
('opinion', '..'): 1
('..', 'this'): 1
('shopping', 'in'): 1
('chicago', 'can'): 1
('found', 'right'): 1
('right', 'around'): 1
('many', 'great'): 1
('great', 'attractions'): 1
('is', 'any'): 1
('any', 'negative'): 1
('negative', 'it'): 1
('common', 'with'): 1
('older', 'hotels'): 1
('...', 'hopefully'): 1
('great', 'value'): 1
('to', 'places'): 1
('for', 'nearly'): 1
('nearly', 'twice'): 1
('l', 'and'): 1
('and', 'short'): 1
('to', 'rental'): 1
('rental', 'car'): 1
('car', 'service'): 1
('<s>', 'restaurants'): 1
('disappointment', ','): 1
('recommendations', 'great'): 1
('great', 'theatre'): 1
('theatre', ','): 1
(',', 'museums'): 1
('stayed', 'valentines'): 1
('valentines', 'weekend'): 1
('a', 'direct'): 1
('direct', 'view'): 1
('machine', 'was'): 1
('was', 'out'): 1
('parking', 'nearby'): 1
('nearby', 'sucks'): 1
('sucks', 'as'): 1
('chicago', 'or'): 1
('or', 'pay'): 1
('pay', '50'): 1
('50', 'for'): 1
('go', 'through'): 1
('through', 'your'): 1
('<s>', 'glasses'): 1
('glasses', 'were'): 1
('were', 'dusty'): 1
('dusty', 'and'): 1
('and', 'gross'): 1
('gross', '.'): 1
('is', 'notorious'): 1
('notorious', 'for'): 1
('for', 'having'): 1
('having', 'super'): 1
('super', 'sensitive'): 1
('sensitive', 'scales'): 1
('scales', 'on'): 1
('mini', 'fridge'): 1
('so', 'when'): 1
('you', 'barely'): 1
('barely', 'touch'): 1
('touch', 'it'): 1
('it', 'you'): 1
("'ll", 'get'): 1
('a', 'bill'): 1
('bill', 'at'): 1
('3', 'in'): 1
('morning', 'under'): 1
('had', 'i'): 1
('i', 'been'): 1
('higher', 'floor'): 1
('view', 'it'): 1
('star', 'but'): 1
('elevator', 'system'): 1
('was', 'impossible'): 1
('were', 'trying'): 1
('improve', 'it'): 1
('it', 'but'): 1
('only', 'made'): 1
('it', 'worse'): 1
('people', 'waited'): 1
('waited', '15+'): 1
('15+', 'minutes'): 1
('minutes', 'and'): 1
('some', 'bailed'): 1
('bailed', 'out'): 1
('the', 'stair'): 1
('stair', 'wells'): 1
('wells', '.'): 1
('happened', 'several'): 1
('read', 'about'): 1
('before', 'booking'): 1
('booking', 'but'): 1
('but', 'guess'): 1
('it', 'seriously'): 1
('seriously', '.'): 1
('it', "'d"): 1
("'d", 'be'): 1
('deal', 'breaker'): 1
('breaker', 'for'): 1
('any', 'future'): 1
('future', 'return'): 1
('return', 'unless'): 1
('unless', 'i'): 1
('heard', 'clearly'): 1
('clearly', 'it'): 1
('was', 'improved'): 1
('always', 'think'): 1
("'s", 'lame'): 1
('lame', 'that'): 1
('wifi', '.'): 1
('recommendations', 'north'): 1
('front', 'areas'): 1
('are', 'best'): 1
('$', '149'): 1
('149', '.'): 1
('was', 'worried'): 1
('weekend', 'before'): 1
('the', 'election'): 1
('election', 'and'): 1
('is', 'across'): 1
('street', 'from'): 1
('easily', 'have'): 1
('gotten', 'a'): 1
('nicer', 'rooms'): 1
('from', 'elevators'): 1
('and', 'foot'): 1
('foot', 'traffic'): 1
('is', 'exactly'): 1
('assigned', '('): 1
('perhaps', 'because'): 1
('am', 'also'): 1
('a', "'silver"): 1
("'silver", "'"): 1
("'", 'member'): 1
('member', '?'): 1
('with', 'windows'): 1
('windows', 'on'): 1
('sides', ','): 1
('and', 'immaculate'): 1
('maid', 'even'): 1
('a', 'thank'): 1
('you', 'note'): 1
('note', 'for'): 1
('the', 'tip'): 1
('tip', 'i'): 1
('had', 'left'): 1
(',', 'polite'): 1
('and', 'cheerful'): 1
('cheerful', '.'): 1
('could', 'actually'): 1
('actually', 'purchase'): 1
('purchase', 'a'): 1
('breakfast', 'for'): 1
('for', 'under'): 1
('15', '('): 1
('(', 'oatmeal'): 1
('oatmeal', ','): 1
('juice', ')'): 1
(')', '--'): 1
('something', 'not'): 1
('possible', 'at'): 1
('of', 'big'): 1
('big', 'hotels'): 1
('hyatt', 'i'): 1
('at', 'last'): 1
('second', 'we'): 1
('immediately', 'won'): 1
('won', 'over'): 1
('the', 'look'): 1
('look', 'and'): 1
('feel', 'of'): 1
('<s>', 'white'): 1
('white', 'luxurous'): 1
('luxurous', 'bedding'): 1
('bedding', 'on'): 1
(',', 'plasma'): 1
('plasma', 't.v./'): 1
('t.v./', 'subroofer/'): 1
('subroofer/', 'surround'): 1
('surround', 'sound'): 1
('sound', 'speakers'): 1
('speakers', '('): 1
('(', 'my'): 1
('boyfriend', 'was'): 1
('impressed', 'than'): 1
('than', 'me'): 1
('i', 'reminded'): 1
('reminded', 'him'): 1
('him', 'that'): 1
("n't", 'come'): 1
(')', 'very'): 1
('bathroom', 'w/'): 1
('w/', 'tub'): 1
('separate', 'stand-in'): 1
('stand-in', 'shower'): 1
(',', 'granite'): 1
('granite', 'countertops'): 1
('countertops', ','): 1
(',', 'his/'): 1
('his/', 'her'): 1
('her', 'robes'): 1
('slippers', '.'): 1
('really', 'high'): 1
('high', 'enough'): 1
('see', 'anything'): 1
('the', 'side'): 1
('but', 'again'): 1
('the', 'prefect'): 1
('prefect', 'size'): 1
('size', 'for'): 1
('amount', 'of'): 1
('were', 'actually'): 1
('actually', 'in'): 1
('rate', 'on'): 1
('it', '('): 1
('$', '140'): 1
('140', 'at'): 1
('at', 'hotels.com'): 1
('hotels.com', ')'): 1
('rate', 'is'): 1
('usually', 'closer'): 1
('to', 'mid'): 1
('mid', '$'): 1
('200', "'s"): 1
('few', 'hotels'): 1
('none', 'have'): 1
('ever', 'impressed'): 1
('me', 'more'): 1
('trip', 'into'): 1
('amalfi', 'looking'): 1
('great', 'boutique'): 1
('nice', 'property'): 1
('property', 'with'): 1
('amenities', 'in'): 1
('10', 'more'): 1
('at', 'two'): 1
('two', 'brick'): 1
('an', 'alley'): 1
('night', 'there'): 1
('were', 'several'): 1
('several', 'homeless'): 1
('homeless', 'individuals'): 1
('individuals', 'fighting'): 1
('fighting', 'in'): 1
('would', 'seem'): 1
('seem', 'that'): 1
('a', 'place'): 1
('to', 'congregate'): 1
('congregate', '.'): 1
('the', 'dumpsters'): 1
('dumpsters', 'in'): 1
('alley', 'were'): 1
('being', 'emptied'): 1
('emptied', 'by'): 1
('the', 'waste'): 1
('waste', 'department'): 1
('department', 'between'): 1
('between', '5'): 1
('and', '6'): 1
('6', 'am'): 1
('noise', 'was'): 1
('was', 'crazy'): 1
('crazy', 'loud'): 1
('think', 'this'): 1
('some', 'unfortunate'): 1
('unfortunate', 'aspects'): 1
('aspects', 'due'): 1
('to', 'its'): 1
('suite', 'for'): 1
('boyfriend', "'s"): 1
("'s", 'birthday'): 1
('birthday', 'months'): 1
('months', 'and'): 1
('and', 'months'): 1
('advanced', '.'): 1
('they', 'doubled'): 1
('doubled', 'booked'): 1
('after', 'many'): 1
('many', 'emails'): 1
('emails', 'to'): 1
('hotel', 'inquiring'): 1
('by', 'providing'): 1
('and', 'giving'): 1
('giving', 'us'): 1
('a', 'ten'): 1
('ten', 'dollar'): 1
('dollar', 'gift'): 1
('certificate', 'to'): 1
('their', 'resturant'): 1
('resturant', '-'): 1
('even', 'use'): 1
('felt', 'we'): 1
('were', 'taken'): 1
('taken', 'advantage'): 1
('of', 'because'): 1
('were', 'young'): 1
('young', '.'): 1
('make', 'us'): 1
('feel', 'any'): 1
('any', 'better'): 1
('better', 'when'): 1
('he', 'told'): 1
('time', 'they'): 1
('incredible', 'with'): 1
('with', 'providing'): 1
('of', 'champagne'): 1
('champagne', 'for'): 1
('for', 'his'): 1
('his', 'birthday'): 1
('birthday', 'and'): 1
('delivered', 'the'): 1
('the', 'birthday'): 1
('birthday', 'cake'): 1
('cake', 'i'): 1
('ordered', '.'): 1
('room', 'confusion'): 1
('confusion', '-'): 1
('floor', 'overlooking'): 1
('that', 'also'): 1
('couch', 'in'): 1
('mile', 'shopping'): 1
('shopping', 'area'): 1
('from', 'checking'): 1
('to', 'maid'): 1
('maid', 'service'): 1
('a', '40th'): 1
('excellent', 'for'): 1
('very', 'loud'): 1
('horrible', '.'): 1
('a', 'double/double'): 1
('double/double', 'and'): 1
('college', 'dorm'): 1
('dorm', 'room'): 1
('plus', 'completely'): 1
('completely', 'white'): 1
('absolutely', 'no'): 1
('no', 'color'): 1
('color', 'except'): 1
('one', 'accent'): 1
('accent', 'pillow'): 1
('pillow', '.'): 1
('very', 'sterile'): 1
('sterile', 'and'): 1
('uninviting', '.'): 1
('was', 'dark'): 1
('in', 'red'): 1
('red', 'and'): 1
('and', 'balck'): 1
('balck', 'with'): 1
('with', 'minimal'): 1
('minimal', 'lighting'): 1
('entrance', 'to'): 1
('to', 'hell'): 1
('hell', ','): 1
('a', 'haunted'): 1
('haunted', 'house'): 1
("'ve", 'used'): 1
('used', 'priceline'): 1
('every', 'trip'): 1
("'ve", 'made'): 1
('made', 'back'): 1
('been', 'fortunate'): 1
('fortunate', 'to'): 1
('some', 'excellent'): 1
('excellent', 'hotels'): 1
('last', 'stay'): 1
('its', 'conveniently'): 1
('located', 'near'): 1
('the', 'clark/division'): 1
('clark/division', 'stop'): 1
('stop', 'on'): 1
('el', "'s"): 1
("'s", 'red'): 1
('charged', 'additional'): 1
('additional', 'for'): 1
('for', 'upgrading'): 1
('upgrading', 'from'): 1
('to', 'two'): 1
('two', 'queens'): 1
('that', 'issue'): 1
('issue', 'at'): 1
('was', 'outdated'): 1
('outdated', 'and'): 1
('tiny', '.'): 1
('for', 'usage'): 1
('usage', 'of'): 1
('hallway', 'and'): 1
('hallway', 'you'): 1
('easily', 'hear'): 1
("n't", 'in'): 1
('hotel', 'however'): 1
('for', 'people'): 1
('weekend', 'this'): 1
('fiance', 'and'): 1
('i', 'traveled'): 1
('this', 'december'): 1
('december', 'and'): 1
('not', 'happy'): 1
('the', 'friendliest'): 1
('friendliest', 'people'): 1
('bell', 'boys'): 1
('they', 'greeted'): 1
('us', 'lots'): 1
('great', 'advice'): 1
('advice', 'throughout'): 1
('staff', 'however'): 1
('however', 'was'): 1
('first', 'checked'): 1
('was', 'instantly'): 1
('instantly', 'discouraged'): 1
('discouraged', '.'): 1
('good', 'mood'): 1
('mood', 'and'): 1
('having', 'not'): 1
('not', 'traveled'): 1
('traveled', 'here'): 1
('for', 'exciting'): 1
('exciting', 'places'): 1
('go', 'sightseeing'): 1
('sightseeing', '.'): 1
('asked', 'multiple'): 1
('members', 'at'): 1
('desk', 'of'): 1
('never', 'got'): 1
('got', 'any'): 1
('any', 'good'): 1
('good', 'recommendations'): 1
('recommendations', '.'): 1
('felt', 'as'): 1
('an', 'inconvenience'): 1
('inconvenience', 'to'): 1
('phone', 'while'): 1
('were', 'waiting'): 1
('her', ','): 1
('as', 'she'): 1
('four', 'came'): 1
('up', 'behind'): 1
('us', 'waiting'): 1
('her', 'as'): 1
('though', 'she'): 1
('she', 'saw'): 1
('us', 'standing'): 1
('after', 'she'): 1
('she', 'finished'): 1
('finished', 'with'): 1
('call', 'she'): 1
('she', 'ignored'): 1
('helped', 'the'): 1
('family', 'first'): 1
('our', 'mid'): 1
('mid', '20'): 1
('20', "'s"): 1
('still', 'paying'): 1
('paying', 'guests'): 1
('no', 'reason'): 1
('reason', 'to'): 1
('be', 'treated'): 1
('are', 'invisible'): 1
('invisible', '.'): 1
('for', 'how'): 1
('for', 'each'): 1
('have', 'rather'): 1
('rather', 'stayed'): 1
('stayed', 'somewhere'): 1
('go', 'with'): 1
('experience', 'any'): 1
('this', 'during'): 1
('were', 'alright'): 1
('<s>', 'nestled'): 1
('nestled', 'just'): 1
('path', 'and'): 1
('river', 'the'): 1
('offers', 'an'): 1
('to', 'operate'): 1
('operate', 'as'): 1
('as', 'home'): 1
('base', 'for'): 1
(',', 'arranging'): 1
('arranging', 'many'): 1
('the', 'sightseeing'): 1
('sightseeing', 'events'): 1
('events', 'we'): 1
('enjoyed', 'while'): 1
('many', 'attractions'): 1
('attractions', 'withiin'): 1
('withiin', 'easy'): 1
('distance', '('): 1
('institute', 'is'): 1
('fun', 'visit'): 1
('visit', ')'): 1
('architectural', 'tour'): 1
('tour', 'by'): 1
('by', 'river'): 1
('river', 'departs'): 1
('departs', 'a'): 1
('a', 'dock'): 1
('dock', 'that'): 1
('fairmont', 'and'): 1
('are', 'lots'): 1
('club', 'room'): 1
('is', 'worth'): 1
('extra', 'expense'): 1
('checked', 'into'): 1
(',', 'rm'): 1
('rm', '1760'): 1
('1760', 'on'): 1
('on', '11/13/2010'): 1
('11/13/2010', '.'): 1
('with', 'bed'): 1
(',', 'numerous'): 1
('numerous', ','): 1
('my', 'arm'): 1
('arm', 'and'): 1
('and', 'back'): 1
('reported', 'this'): 1
('management', 'who'): 1
('who', 'assiged'): 1
('assiged', 'us'): 1
('to', 'rm'): 1
('rm', '1901'): 1
('1901', 'and'): 1
('and', 'promised'): 1
('room', 'inspected'): 1
('inspected', 'and'): 1
('``', 'taken'): 1
('i', 'insisted'): 1
('they', 'get'): 1
('my', 'clothes'): 1
('clothes', 'laundered'): 1
('laundered', ','): 1
('<s>', 'interestingly'): 1
('interestingly', ','): 1
('one', 'from'): 1
('management', ','): 1
('guy', 'who'): 1
('who', 'came'): 1
('first', 'complained'): 1
('offered', 'any'): 1
('any', 'apology'): 1
('apology', 'for'): 1
('the', 'inconvience'): 1
('inconvience', '.'): 1
('i', 'missed'): 1
('missed', 'couple'): 1
('of', 'meetings'): 1
('meetings', 'that'): 1
('called', 'as'): 1
('i', 'forgot'): 1
('forgot', 'something'): 1
('previous', 'room'): 1
('was', 'already'): 1
('already', 'assigned'): 1
('next', 'guest'): 1
('for', 'reporting'): 1
('reporting', '!'): 1
('a', 'located'): 1
('fantastic', 'spot'): 1
('spot', 'on'): 1
('the', 'nbc'): 1
('nbc', 'building'): 1
('main', 'tower'): 1
('and', 'updated'): 1
('updated', '.'): 1
('negatives', 'about'): 1
('extra', 'to'): 1
('fitness', 'centre'): 1
('centre', 'and'): 1
(',', 'parking'): 1
('is', 'high'): 1
('high', '('): 1
('45', 'valet/day'): 1
('valet/day', ')'): 1
('$', '90'): 1
('90', 'on'): 1
('reasonable', 'price'): 1
('the', '100'): 1
('100', 'degree'): 1
('degree', 'heat'): 1
('heat', 'of'): 1
('chicago', 'summer'): 1
('it', 'sucks'): 1
('sucks', 'if'): 1
('your', 'air'): 1
('conditioner', 'does'): 1
('2', 'maintenance'): 1
('maintenance', 'men'): 1
('men', 'attempted'): 1
('issue', 'i'): 1
('offered', 'a'): 1
('a', 'portable'): 1
('portable', 'fan'): 1
('fan', 'which'): 1
('which', 'on'): 1
('on', 'low'): 1
('low', 'speed'): 1
('speed', 'sound'): 1
('sound', 'as'): 1
('a', 'helicopter'): 1
('helicopter', 'was'): 1
('was', 'hoovering'): 1
('hoovering', 'over'): 1
('a', 'not'): 1
(',', 'unsympathetic'): 1
('unsympathetic', 'night'): 1
('night', 'front'): 1
('attendant', 'stated'): 1
('stated', 'that'): 1
('possible', 'because'): 1
('capacity', '.'): 1
('manager', 'could'): 1
('day', 'went'): 1
('went', 'by'): 1
('call', 'was'): 1
('was', 'received'): 1
('received', '.'): 1
('at', '7pm'): 1
('7pm', ','): 1
('<s>', 'approximately'): 1
('approximately', '45'): 1
('manager', 'returned'): 1
('returned', 'my'): 1
('and', 'stated'): 1
('stated', 'a'): 1
('i', 'accepted'): 1
('accepted', 'it'): 1
('was', 'glee'): 1
('glee', '.'): 1
('<s>', 'anything'): 1
('anything', 'was'): 1
('not', 'cool'): 1
('cool', 'below'): 1
('below', '78'): 1
('78', 'degrees'): 1
('degrees', 'in'): 1
('of', 'summer'): 1
('was', 'paritally'): 1
('paritally', 'correct'): 1
('correct', '.'): 1
('god', 'my'): 1
('i', 'are'): 1
('are', 'past'): 1
('the', 'shy'): 1
('shy', 'part'): 1
('the', 'relationship'): 1
('relationship', '.'): 1
('as', 'for'): 1
('room', '1618'): 1
('1618', ','): 1
('first', 'guest'): 1
('guest', 'to'): 1
('conditioner', '.'): 1
("'s", 'unfortunate'): 1
('unfortunate', 'is'): 1
('is', 'they'): 1
('they', 'continued'): 1
('to', 'place'): 1
('place', 'guests'): 1
('guests', 'into'): 1
('offer', 'any'): 1
('any', 'reufunds'): 1
('reufunds', 'or'): 1
('or', 'perks'): 1
('perks', 'for'): 1
('my', 'sleepless'): 1
('sleepless', 'night'): 1
('the', 'sauna'): 1
('sauna', '!'): 1
('overhaul', '!'): 1
('the', 'perfect'): 1
('thing', 'is'): 1
('small', '-'): 1
('is', 'indoors'): 1
('indoors', ','): 1
('but', 'looks'): 1
('looks', 'much'): 1
('much', 'larger'): 1
('hotel', 'while'): 1
('while', 'interviewing'): 1
('interviewing', 'for'): 1
('a', 'position'): 1
('position', 'in'): 1
('read', 'the'): 1
('reviews', 'and'): 1
('were', 'mixed'): 1
('mixed', ','): 1
('was', 'suggested'): 1
('the', 'organization'): 1
('organization', '('): 1
('(', 'due'): 1
('to', 'location'): 1
('location', ')'): 1
('<s>', 'true'): 1
('true', 'to'): 1
('was', 'cold'): 1
('cold', '('): 1
('the', 'heater'): 1
('heater', 'blew'): 1
('blew', 'in'): 1
('in', 'cold'): 1
('cold', 'air'): 1
('in', '-2'): 1
('-2', 'degree'): 1
('degree', 'weather'): 1
('weather', ')'): 1
('just', 'generally'): 1
('generally', 'uncomfortable'): 1
('no', 'closet'): 1
('closet', 'so'): 1
('i', 'hung'): 1
('hung', 'my'): 1
('my', 'suit'): 1
('suit', 'on'): 1
